shortnam,logpgp95,avexpr
AFG,,
AGO,7.770645,5.3636365
ARE,9.804219,7.181818
ARG,9.133459,6.3863635
ARM,7.6824822,
AUS,9.897972,9.318182
AUT,9.974877,9.727273
AZE,7.3065314,
BDI,6.565265,
BEL,9.992871,9.681818
BEN,7.090077,
BFA,6.84588,4.4545455
BGD,6.877296,5.1363635
BGR,8.457443,8.909091
BHR,9.685953,8.0
BHS,9.285448,7.5
BIH,,
BLR,8.340456,
BLZ,8.377932,
BOL,7.9266024,5.6363635
BRA,8.727454,7.909091
BRB,9.266721,
BTN,,
BWA,8.855093,7.7272725
CAF,7.192934,
CAN,9.986449,9.727273
CHE,10.120211,10.0
CHL,9.336092,7.818182
CHN,7.886081,7.7727275
CIV,7.4442487,7.0
CMR,7.501082,6.4545455
COG,7.420579,4.681818
COL,8.809863,7.318182
COM,7.3839893,
CPV,7.979339,
CRI,8.794825,7.0454545
CZE,9.204322,8.863636
DEU,9.935471,
DJI,,
DNK,10.005592,9.727273
DOM,8.364042,6.181818
DZA,8.389359,6.5
ECU,8.470101,6.5454545
EGY,7.9515595,6.7727275
ERI,6.6200733,
ESP,9.618468,9.681818
EST,8.393895,
ETH,6.1092477,5.7272725
FIN,9.826066,9.727273
FJI,8.301521,
FRA,9.963641,9.727273
GAB,8.907883,7.818182
GBR,9.87817,9.772727
GEO,7.3714895,
GHA,7.36518,6.2727275
GIN,7.4899707,6.5454545
GMB,7.2723985,8.272727
GNB,,4.5454545
GRC,9.39765,7.818182
GTM,8.294049,5.1363635
GUY,7.904704,5.8863635
HKG,10.04975,8.136364
HND,7.6870804,5.318182
HRV,8.418477,
HTI,7.1467724,3.7272727
HUN,8.809863,9.0
IDN,8.070906,7.590909
IND,7.326,8.272727
IRL,9.769384,9.727273
IRN,8.605204,4.7727275
IRQ,,1.6363636
ISL,9.943669,9.727273
ISR,9.784141,8.545455
ITA,9.897972,9.454545
JAM,8.188689,7.090909
JOR,8.171882,6.7727275
JPN,10.034077,9.727273
KAZ,8.131531,
KEN,7.056175,6.0454545
KGZ,7.575585,
KOR,9.415728,8.636364
KWT,9.803667,7.0454545
LAO,7.090077,
LBR,,3.6363637
LBY,,5.2727275
LKA,7.7319307,6.0454545
LSO,7.3065314,
LTU,8.237479,
LUX,10.28875,10.0
LVA,8.154788,
MAR,8.042378,7.090909
MDA,7.377759,
MDG,6.8351846,4.4545455
MEX,8.943768,7.5
MKD,8.061487,
MLI,6.565265,4.0
MLT,9.427063,7.2272725
MMR,,5.7727275
MNG,7.2997975,7.3636365
MOZ,6.461468,6.5
MRT,7.4145727,
MUS,9.053686,
MWI,6.461468,6.818182
MYS,8.8942585,7.9545455
NAM,8.515191,
NER,6.733402,5.0
NGA,6.8134446,5.5454545
NIC,7.544332,5.2272725
NLD,9.896966,10.0
NOR,10.023933,9.954545
NPL,6.937314,
NZL,9.756147,9.727273
OMN,9.208339,7.1363635
PAK,7.3524413,6.0454545
PAN,8.836374,5.909091
PER,8.396154,5.7727275
PHL,8.098643,5.4545455
PNG,,7.2727275
POL,8.655214,7.681818
PRK,,
PRT,9.489486,9.181818
PRY,8.207947,6.9545455
QAT,9.685331,7.7272725
ROM,8.387085,7.2727275
RUS,8.405144,8.454545
RWA,6.4769726,
SAU,9.2399,7.590909
SDN,7.3065314,4.0
SEN,7.4024515,6.0
SGP,10.146434,9.318182
SLE,6.253829,5.818182
SLV,7.948032,5.0
SOM,,3.0
STP,,8.409091
SUR,8.01,4.681818
SVK,8.852236,
SVN,9.300181,
SWE,9.866304,9.5
SWZ,8.10772,
SYR,8.029433,5.818182
TCD,6.8351846,
TGO,7.222566,6.909091
THA,8.774931,7.6363635
TJK,6.8875527,
TKM,7.6401234,
TTO,8.76873,7.4545455
TUN,8.482602,6.4545455
TUR,8.641179,7.4545455
TWN,,9.227273
TZA,6.253829,6.6363635
UGA,6.9660244,4.4545455
UKR,7.8119736,
URY,9.031214,7.0
USA,10.21574,10.0
UZB,7.8079166,
VEN,9.071078,7.1363635
VNM,7.279319,6.409091
YEM,6.6463904,6.3636365
YUG,,6.318182
ZAF,8.885994,6.8636365
ZAR,6.8669333,3.5
ZMB,6.8134446,6.6363635
ZWE,7.696213,6.0
